SubscribeID,Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Subscribe Duration,Country,Age,Gender,Device
3,Premium,15,12/19/2022,6/23/2023,186,Spain,36,Female,Laptop
1,Basic,10,5/17/2023,6/22/2023,36,Italy,42,Male,Smartphone
3,Premium,15,3/2/2023,6/22/2023,112,United States,28,Female,Smart TV
1,Basic,10,7/7/2022,6/28/2023,356,Canada,37,Male,Tablet
2,Standard,12,1/21/2022,6/27/2023,522,United Kingdom,41,Female,Laptop
2,Standard,12,5/25/2022,6/26/2023,397,Australia,29,Male,Smartphone
1,Basic,10,11/4/2023,6/28/2023,-129,Germany,39,Female,Smart TV
3,Premium,15,1/3/2022,6/27/2023,540,France,35,Male,Tablet
1,Basic,10,9/14/2022,6/25/2023,284,Brazil,45,Female,Laptop
2,Standard,12,5/11/2021,6/24/2023,774,Mexico,32,Male,Smartphone
3,Premium,15,12/28/2022,6/23/2023,177,Spain,27,Female,Smart TV
1,Basic,10,7/3/2023,6/22/2023,-11,Italy,48,Male,Tablet
3,Premium,15,1/20/2023,6/22/2023,153,United States,31,Female,Laptop
1,Basic,10,6/15/2022,6/28/2023,378,Canada,40,Male,Smartphone
2,Standard,12,7/2/2022,6/27/2023,360,United Kingdom,36,Female,Smart TV
2,Standard,12,4/26/2022,6/26/2023,426,Australia,29,Male,Tablet
1,Basic,10,1/28/2023,6/28/2023,151,Germany,43,Female,Laptop
3,Premium,15,2/23/2022,6/27/2023,489,France,34,Male,Smartphone
1,Basic,10,5/10/2022,6/25/2023,411,Brazil,39,Female,Smart TV
2,Standard,12,9/15/2021,6/24/2023,647,Mexico,32,Male,Tablet
3,Premium,15,10/11/2022,6/23/2023,255,Spain,28,Female,Laptop
1,Basic,10,2/6/2023,6/22/2023,136,Italy,45,Male,Smartphone
3,Premium,15,2/27/2023,6/22/2023,115,United States,30,Female,Smart TV
1,Basic,10,8/29/2022,6/28/2023,303,Canada,37,Male,Tablet
2,Standard,12,1/13/2022,6/27/2023,530,United Kingdom,41,Female,Laptop
2,Standard,12,6/30/2022,6/26/2023,361,Australia,29,Male,Smartphone
1,Basic,10,4/20/2023,6/28/2023,69,Germany,39,Female,Smart TV
3,Premium,15,3/15/2022,6/27/2023,469,France,36,Male,Tablet
1,Basic,10,1/10/2022,6/25/2023,531,Brazil,46,Female,Laptop
2,Standard,12,8/10/2021,6/24/2023,683,Mexico,34,Male,Smartphone
3,Premium,15,3/12/2022,6/23/2023,468,Spain,27,Female,Smart TV
1,Basic,10,6/14/2023,6/22/2023,8,Italy,42,Male,Tablet
3,Premium,15,8/2/2023,6/22/2023,-41,United States,28,Female,Laptop
1,Basic,10,3/8/2022,6/28/2023,477,Canada,37,Male,Smartphone
2,Standard,12,2/23/2022,6/27/2023,489,United Kingdom,41,Female,Smart TV
2,Standard,12,6/20/2022,6/26/2023,371,Australia,29,Male,Tablet
1,Basic,10,3/29/2023,6/28/2023,91,Germany,40,Female,Laptop
3,Premium,15,1/30/2022,6/27/2023,513,France,29,Male,Smartphone
1,Basic,10,9/18/2022,6/25/2023,280,Brazil,47,Female,Smart TV
2,Standard,12,9/11/2021,6/24/2023,651,Mexico,33,Male,Tablet
3,Premium,15,12/23/2022,6/23/2023,182,Spain,36,Female,Laptop
1,Basic,10,8/5/2023,6/22/2023,-44,Italy,41,Male,Smartphone
1,Basic,10,1/26/2022,6/20/2023,510,United States,27,Male,Smartphone
1,Basic,10,11/10/2022,6/22/2023,224,Canada,31,Female,Smartphone
2,Standard,12,9/27/2022,6/26/2023,272,United Kingdom,28,Female,Laptop
3,Premium,13,12/14/2022,6/25/2023,193,Australia,41,Female,Smartphone
1,Basic,13,5/28/2022,6/26/2023,394,Germany,28,Female,Laptop
1,Basic,13,12/29/2021,6/26/2023,544,France,51,Female,Laptop
3,Premium,15,12/25/2022,6/23/2023,180,Brazil,45,Female,Smartphone
2,Standard,15,11/18/2022,6/28/2023,222,Mexico,49,Male,Tablet
2,Standard,15,3/12/2022,6/25/2023,470,Spain,43,Female,Laptop
1,Basic,12,8/11/2022,6/22/2023,315,Italy,43,Male,Tablet
3,Premium,10,11/1/2023,6/24/2023,-130,United States,37,Male,Tablet
2,Standard,12,7/12/2022,6/28/2023,351,Canada,35,Male,Laptop
1,Basic,10,10/20/2022,6/26/2023,249,United Kingdom,46,Female,Smartphone
2,Standard,12,4/13/2023,6/25/2023,73,Australia,32,Male,Smartphone
3,Premium,10,6/4/2023,6/27/2023,23,Germany,37,Female,Laptop
1,Basic,11,4/3/2022,6/25/2023,448,France,29,Female,Smartphone
3,Premium,15,12/28/2021,6/23/2023,542,Brazil,45,Male,Smart TV
2,Standard,12,9/27/2022,6/28/2023,274,Mexico,47,Male,Tablet
1,Basic,15,10/20/2022,6/26/2023,249,Spain,39,Male,Smartphone
2,Standard,13,3/2/2023,6/23/2023,113,Italy,49,Female,Smartphone
3,Premium,11,3/10/2022,6/23/2023,470,United States,39,Male,Tablet
1,Basic,14,5/1/2022,6/28/2023,423,Canada,39,Male,Smart TV
2,Standard,12,5/2/2022,6/26/2023,420,United Kingdom,35,Male,Smartphone
3,Premium,12,3/19/2022,6/25/2023,463,Australia,44,Male,Smartphone
1,Basic,11,2/28/2022,6/25/2023,482,Germany,34,Male,Laptop
3,Premium,14,7/26/2022,6/24/2023,333,France,32,Male,Laptop
1,Basic,10,5/3/2022,6/24/2023,417,Brazil,29,Female,Tablet
2,Standard,13,7/3/2022,6/28/2023,360,Mexico,31,Female,Tablet
2,Standard,12,1/13/2023,6/24/2023,162,Spain,29,Female,Tablet
1,Basic,12,1/22/2023,6/25/2023,154,Italy,35,Male,Laptop
3,Premium,11,10/17/2022,6/24/2023,250,United States,46,Female,Tablet
1,Basic,12,3/29/2022,6/28/2023,456,Canada,31,Male,Tablet
2,Standard,13,4/4/2022,6/26/2023,448,United Kingdom,36,Male,Laptop
3,Premium,10,8/6/2022,6/25/2023,323,Australia,38,Male,Laptop
1,Basic,11,4/3/2022,6/27/2023,450,Germany,46,Female,Laptop
3,Premium,10,3/18/2022,6/24/2023,463,France,49,Female,Tablet
1,Basic,14,7/3/2022,6/24/2023,356,Brazil,29,Female,Smart TV
2,Standard,12,5/24/2022,6/25/2023,397,Mexico,27,Female,Smart TV
2,Standard,13,8/2/2023,6/25/2023,-38,Spain,35,Female,Tablet
1,Basic,13,1/26/2023,6/24/2023,149,Italy,37,Female,Laptop
3,Premium,14,7/14/2022,6/27/2023,348,United States,40,Male,Tablet
1,Basic,10,1/6/2022,6/28/2023,538,Canada,33,Female,Laptop
2,Standard,15,7/5/2022,6/26/2023,356,United Kingdom,37,Male,Tablet
3,Premium,10,11/18/2022,6/25/2023,219,Australia,48,Male,Smartphone
1,Basic,11,5/4/2022,6/25/2023,417,Germany,50,Female,Laptop
3,Premium,14,5/19/2022,6/23/2023,400,France,45,Female,Smart TV
1,Basic,15,10/30/2021,6/23/2023,601,Brazil,40,Female,Tablet
2,Standard,12,7/8/2022,6/27/2023,354,Mexico,33,Male,Smartphone
2,Standard,11,9/20/2022,6/25/2023,278,Spain,44,Female,Smartphone
1,Basic,10,10/18/2022,6/25/2023,250,Italy,30,Female,Smart TV
3,Premium,15,3/10/2022,6/24/2023,471,United States,27,Male,Smart TV
1,Basic,11,3/5/2022,6/28/2023,480,Canada,51,Male,Smart TV
2,Standard,13,5/25/2022,6/26/2023,397,United Kingdom,49,Female,Smartphone
3,Premium,15,5/11/2022,6/25/2023,410,Australia,43,Male,Laptop
1,Basic,12,8/21/2022,6/24/2023,307,Germany,42,Male,Smartphone
3,Premium,13,9/21/2022,6/23/2023,275,France,45,Male,Laptop
1,Basic,10,11/23/2021,6/23/2023,577,Brazil,36,Male,Smartphone
2,Standard,12,6/10/2022,6/27/2023,382,Mexico,48,Male,Smartphone
2,Standard,13,5/11/2022,6/23/2023,408,Spain,38,Male,Smart TV
1,Basic,14,7/1/2023,6/23/2023,-8,Italy,43,Female,Tablet
3,Premium,15,6/10/2022,6/23/2023,378,United States,47,Male,Laptop
1,Basic,15,6/24/2022,6/28/2023,369,Canada,48,Female,Smart TV
2,Standard,13,6/24/2022,6/26/2023,367,United Kingdom,47,Male,Smart TV
3,Premium,15,5/11/2022,6/25/2023,410,Australia,32,Male,Tablet
1,Basic,13,7/18/2022,6/26/2023,343,Germany,47,Female,Smart TV
3,Premium,12,9/13/2022,6/26/2023,286,France,41,Female,Smart TV
1,Basic,12,10/8/2022,6/22/2023,257,Brazil,49,Male,Laptop
2,Standard,15,9/21/2022,6/23/2023,275,Mexico,28,Male,Laptop
2,Standard,13,3/24/2023,6/23/2023,91,Spain,40,Male,Smartphone
1,Basic,12,2/5/2022,6/23/2023,503,Italy,43,Female,Smartphone
3,Premium,12,11/5/2022,6/27/2023,234,United States,42,Male,Smartphone
1,Basic,14,10/6/2022,6/22/2023,259,Canada,28,Male,Smart TV
2,Standard,14,8/31/2022,6/24/2023,297,United Kingdom,30,Female,Tablet
3,Premium,10,8/17/2022,6/26/2023,313,Australia,33,Male,Smart TV
1,Basic,11,5/5/2022,6/26/2023,417,Germany,35,Female,Laptop
1,Basic,10,6/10/2022,6/25/2023,380,France,38,Male,Tablet
1,Basic,12,8/11/2022,6/24/2023,317,Brazil,49,Female,Laptop
2,Standard,15,11/27/2022,6/28/2023,213,Mexico,39,Female,Smartphone
3,Premium,13,11/17/2022,6/27/2023,222,Spain,46,Female,Smart TV
1,Basic,10,12/15/2022,6/23/2023,190,Italy,47,Female,Laptop
1,Basic,15,12/12/2022,6/25/2023,195,United States,30,Female,Laptop
3,Premium,14,11/23/2022,6/27/2023,216,Canada,33,Female,Tablet
2,Standard,11,12/25/2022,6/24/2023,181,United Kingdom,47,Male,Smartphone
2,Standard,11,11/3/2023,6/27/2023,-129,Australia,27,Male,Laptop
1,Basic,14,11/18/2022,6/27/2023,221,Germany,28,Male,Tablet
3,Premium,15,8/19/2022,6/25/2023,310,France,47,Male,Smartphone
2,Standard,14,9/27/2022,6/24/2023,270,Brazil,30,Male,Laptop
1,Basic,13,10/19/2022,6/28/2023,252,Mexico,47,Female,Smartphone
2,Standard,10,12/21/2022,6/26/2023,187,Spain,51,Female,Smart TV
3,Premium,15,10/27/2022,6/25/2023,241,Italy,39,Male,Smartphone
1,Basic,10,10/23/2022,6/24/2023,244,United States,45,Male,Tablet
3,Premium,15,4/19/2022,6/25/2023,432,Canada,31,Male,Laptop
2,Standard,11,5/4/2022,6/26/2023,418,United Kingdom,29,Male,Laptop
1,Basic,11,11/3/2022,6/26/2023,235,Australia,42,Female,Tablet
2,Standard,14,5/25/2022,6/25/2023,396,Germany,49,Male,Tablet
3,Premium,13,4/16/2022,6/26/2023,436,France,42,Male,Laptop
1,Basic,13,7/4/2022,6/24/2023,355,Brazil,29,Male,Smartphone
2,Standard,10,11/12/2022,6/28/2023,228,Mexico,29,Male,Tablet
3,Premium,12,1/20/2023,6/26/2023,157,Spain,49,Male,Tablet
1,Basic,14,12/1/2023,6/25/2023,-159,Italy,32,Male,Laptop
3,Premium,11,4/29/2022,6/24/2023,421,United States,35,Female,Tablet
1,Basic,12,4/27/2022,6/26/2023,425,Canada,39,Female,Smartphone
2,Standard,15,3/6/2022,6/25/2023,476,United Kingdom,40,Male,Smartphone
2,Standard,14,4/23/2022,6/25/2023,428,Australia,39,Female,Tablet
1,Basic,10,4/22/2022,6/26/2023,430,Germany,47,Female,Laptop
3,Premium,13,12/4/2022,6/25/2023,203,France,37,Female,Smart TV
1,Basic,15,5/23/2022,6/26/2023,399,Brazil,27,Female,Smartphone
2,Standard,13,10/19/2022,6/26/2023,250,Mexico,49,Female,Laptop
3,Premium,10,3/12/2022,6/26/2023,471,Spain,30,Female,Tablet
1,Basic,14,9/26/2022,6/25/2023,272,Italy,36,Male,Laptop
3,Premium,15,6/16/2022,6/27/2023,376,United States,33,Male,Smartphone
1,Basic,13,5/16/2022,6/25/2023,405,Canada,30,Female,Laptop
2,Standard,15,5/26/2022,6/26/2023,396,United Kingdom,36,Female,Tablet
2,Standard,13,4/26/2022,6/25/2023,425,Australia,28,Female,Laptop
1,Basic,11,12/5/2022,6/25/2023,202,Germany,47,Female,Tablet
3,Premium,12,1/3/2022,6/25/2023,538,France,33,Female,Smart TV
1,Basic,13,10/7/2022,6/24/2023,260,Brazil,49,Female,Laptop
2,Standard,15,7/16/2022,6/27/2023,346,Mexico,44,Female,Smart TV
3,Premium,13,2/9/2022,6/26/2023,502,Spain,47,Male,Smart TV
1,Basic,11,9/18/2022,6/26/2023,281,Italy,37,Female,Tablet
3,Premium,10,8/7/2022,6/25/2023,322,United States,46,Male,Laptop
1,Basic,14,6/26/2022,6/27/2023,366,Canada,50,Female,Smartphone
2,Standard,11,5/8/2022,6/25/2023,413,United Kingdom,50,Male,Laptop
2,Standard,14,8/19/2022,6/27/2023,312,Australia,37,Male,Laptop
1,Basic,11,8/26/2022,6/24/2023,302,Germany,50,Female,Smartphone
3,Premium,13,9/6/2022,6/24/2023,291,France,45,Female,Smart TV
1,Basic,14,9/27/2022,6/23/2023,269,Brazil,45,Male,Tablet
2,Standard,10,10/18/2022,6/27/2023,252,Mexico,49,Female,Laptop
3,Premium,14,10/31/2022,6/25/2023,237,Spain,39,Female,Tablet
1,Basic,11,10/13/2022,6/25/2023,255,Italy,45,Female,Tablet
3,Premium,11,4/7/2022,6/27/2023,446,United States,49,Female,Smart TV
1,Basic,12,6/26/2022,6/27/2023,366,Canada,31,Female,Tablet
2,Standard,13,7/31/2022,6/24/2023,328,United Kingdom,42,Female,Smart TV
2,Standard,12,7/27/2022,6/24/2023,332,Australia,37,Male,Smartphone
1,Basic,12,7/30/2022,6/25/2023,330,Germany,30,Male,Smart TV
3,Premium,11,6/8/2022,6/25/2023,382,France,40,Male,Smartphone
1,Basic,15,9/16/2022,6/24/2023,281,Brazil,45,Female,Smartphone
2,Standard,15,5/1/2023,6/23/2023,53,Mexico,36,Female,Tablet
3,Premium,11,10/12/2022,6/24/2023,255,Spain,41,Male,Laptop
1,Basic,14,11/22/2022,6/26/2023,216,Italy,49,Female,Laptop
3,Premium,15,11/15/2022,6/27/2023,224,United States,40,Male,Tablet
1,Basic,11,10/28/2022,6/26/2023,241,Canada,36,Male,Smart TV
2,Standard,12,8/9/2022,6/24/2023,319,United Kingdom,49,Female,Smart TV
2,Standard,13,6/30/2022,6/28/2023,363,Australia,43,Female,Laptop
1,Basic,13,2/9/2022,6/27/2023,503,Germany,50,Female,Smartphone
3,Premium,14,8/10/2022,6/24/2023,318,France,51,Female,Smart TV
1,Basic,15,11/13/2022,6/25/2023,224,Brazil,44,Male,Smart TV
2,Standard,12,11/15/2022,6/28/2023,225,Mexico,27,Male,Tablet
3,Premium,12,11/16/2022,6/25/2023,221,Spain,46,Female,Smartphone
1,Basic,12,11/26/2022,6/27/2023,213,Italy,29,Male,Tablet
1,Basic,12,11/26/2022,6/25/2023,211,United States,47,Male,Smartphone
1,Basic,10,12/12/2022,6/26/2023,196,Canada,48,Female,Smartphone
2,Standard,12,8/1/2023,6/25/2023,-37,United Kingdom,34,Female,Smartphone
3,Premium,15,11/27/2022,6/29/2023,214,Australia,40,Female,Smartphone
1,Basic,14,11/10/2022,6/27/2023,229,Germany,48,Female,Smartphone
1,Basic,10,9/27/2022,6/26/2023,272,France,35,Male,Smartphone
3,Premium,12,9/30/2022,6/24/2023,267,Brazil,51,Female,Smartphone
2,Standard,10,4/11/2022,6/27/2023,442,Mexico,39,Male,Smart TV
2,Standard,13,4/11/2022,6/27/2023,442,Spain,29,Male,Smartphone
1,Basic,12,10/30/2022,6/26/2023,239,Italy,51,Male,Laptop
3,Premium,11,10/29/2022,6/24/2023,238,United States,43,Male,Smartphone
2,Standard,11,8/30/2022,6/27/2023,301,Canada,28,Male,Smartphone
1,Basic,15,7/7/2022,6/26/2023,354,United Kingdom,50,Female,Smart TV
2,Standard,14,5/26/2022,6/27/2023,397,Australia,44,Female,Laptop
3,Premium,11,5/17/2022,6/25/2023,404,Germany,50,Male,Laptop
1,Basic,11,8/5/2022,6/26/2023,325,France,39,Female,Smartphone
3,Premium,13,7/7/2022,6/25/2023,353,Brazil,46,Female,Tablet
2,Standard,15,7/17/2022,6/28/2023,346,Mexico,48,Male,Smartphone
1,Basic,15,12/23/2022,6/26/2023,185,Spain,38,Male,Smart TV
2,Standard,13,6/27/2022,6/26/2023,364,Italy,38,Male,Smartphone
3,Premium,13,5/31/2022,6/27/2023,392,United States,47,Male,Laptop
1,Basic,12,2/6/2022,6/26/2023,505,Canada,37,Male,Laptop
2,Standard,11,5/25/2022,6/27/2023,398,United Kingdom,33,Male,Laptop
3,Premium,15,4/26/2022,6/26/2023,426,Australia,28,Male,Smartphone
1,Basic,13,4/20/2022,6/26/2023,432,Germany,47,Male,Smart TV
3,Premium,11,3/5/2022,6/25/2023,477,France,38,Female,Smartphone
1,Basic,12,7/7/2022,6/27/2023,355,Brazil,27,Male,Smart TV
2,Standard,13,9/15/2022,6/26/2023,284,Mexico,34,Male,Smartphone
2,Standard,14,9/16/2022,6/27/2023,284,Spain,42,Female,Smartphone
1,Basic,14,9/8/2022,6/26/2023,291,Italy,28,Male,Laptop
3,Premium,15,6/25/2022,6/27/2023,367,United States,30,Male,Laptop
1,Basic,11,5/30/2022,6/26/2023,392,Canada,38,Female,Smartphone
2,Standard,15,5/21/2022,6/25/2023,400,United Kingdom,45,Female,Tablet
3,Premium,12,5/20/2022,6/27/2023,403,Australia,48,Female,Smart TV
1,Basic,13,5/20/2022,6/26/2023,402,Germany,46,Female,Smart TV
3,Premium,12,5/30/2022,6/26/2023,392,France,34,Male,Tablet
1,Basic,13,6/17/2022,6/25/2023,373,Brazil,46,Male,Laptop
2,Standard,11,7/16/2022,6/28/2023,347,Mexico,41,Female,Smartphone
2,Standard,15,5/8/2022,6/26/2023,414,Spain,28,Male,Smartphone
1,Basic,10,7/17/2022,6/26/2023,344,Italy,27,Female,Smartphone
3,Premium,13,4/7/2022,6/25/2023,444,United States,27,Female,Smart TV
1,Basic,12,7/13/2022,6/26/2023,348,Canada,28,Female,Tablet
2,Standard,15,7/25/2022,6/24/2023,334,United Kingdom,46,Male,Smartphone
3,Premium,10,9/8/2022,6/27/2023,292,Australia,51,Male,Smartphone
1,Basic,11,5/8/2022,6/25/2023,413,Germany,32,Female,Smart TV
3,Premium,10,8/17/2022,6/26/2023,313,France,44,Male,Tablet
1,Basic,11,8/9/2022,6/27/2023,322,Brazil,44,Female,Laptop
2,Standard,13,10/16/2022,6/28/2023,255,Mexico,34,Female,Smart TV
2,Standard,13,10/15/2022,6/25/2023,253,Spain,29,Female,Laptop
1,Basic,12,4/9/2022,6/25/2023,442,Italy,47,Male,Smart TV
3,Premium,14,8/20/2022,6/26/2023,310,United States,41,Male,Laptop
1,Basic,10,10/8/2022,6/26/2023,261,Canada,36,Female,Smartphone
2,Standard,12,2/8/2022,6/25/2023,502,United Kingdom,28,Female,Laptop
3,Premium,10,1/8/2022,6/24/2023,532,Australia,27,Female,Tablet
1,Basic,15,6/8/2022,6/25/2023,382,Germany,34,Female,Laptop
3,Premium,14,9/8/2022,6/25/2023,290,France,34,Female,Smart TV
1,Basic,13,12/9/2022,6/26/2023,199,Brazil,37,Female,Tablet
2,Standard,14,9/27/2022,6/26/2023,272,Mexico,34,Female,Laptop
2,Standard,15,12/11/2022,6/24/2023,195,Spain,50,Female,Laptop
1,Basic,12,11/13/2022,6/27/2023,226,Italy,34,Female,Laptop
3,Premium,12,2/11/2022,6/28/2023,502,United States,33,Female,Smart TV
1,Basic,11,10/30/2022,6/25/2023,238,Canada,33,Male,Smart TV
2,Standard,15,6/30/2022,6/26/2023,361,United Kingdom,46,Male,Smartphone
3,Premium,14,4/8/2022,6/28/2023,446,Australia,39,Female,Smartphone
1,Basic,10,1/9/2022,6/27/2023,534,Germany,42,Female,Laptop
3,Premium,14,10/14/2022,6/27/2023,256,France,50,Female,Laptop
1,Basic,10,10/16/2022,6/26/2023,253,Brazil,43,Male,Smartphone
2,Standard,14,10/20/2022,6/28/2023,251,Mexico,51,Male,Smart TV
2,Standard,15,11/20/2022,6/25/2023,217,Spain,34,Female,Smart TV
1,Basic,12,11/25/2022,6/30/2023,217,Italy,48,Male,Smartphone
3,Premium,13,4/12/2022,6/27/2023,441,United States,29,Female,Tablet
1,Basic,11,12/12/2022,6/27/2023,197,Canada,43,Female,Laptop
2,Standard,14,9/12/2022,6/25/2023,286,United Kingdom,39,Female,Laptop
3,Premium,10,10/15/2022,6/29/2023,257,Australia,50,Male,Laptop
1,Basic,14,3/10/2022,6/27/2023,474,Germany,45,Male,Laptop
1,Basic,12,1/10/2022,6/27/2023,533,France,48,Female,Tablet
1,Basic,13,2/11/2022,6/24/2023,498,Brazil,40,Male,Smartphone
2,Standard,14,3/11/2022,6/27/2023,473,Mexico,41,Male,Tablet
3,Premium,10,10/30/2022,6/27/2023,240,Spain,27,Male,Smartphone
1,Basic,11,10/30/2022,6/28/2023,241,Italy,36,Male,Laptop
1,Basic,10,9/27/2022,6/24/2023,270,United States,36,Female,Laptop
3,Premium,11,9/14/2022,6/27/2023,286,Canada,44,Male,Tablet
2,Standard,12,11/6/2022,6/26/2023,232,United Kingdom,45,Male,Tablet
2,Standard,12,11/6/2022,6/29/2023,235,Australia,33,Female,Smartphone
1,Basic,13,5/24/2022,6/26/2023,398,Germany,47,Male,Smart TV
3,Premium,13,6/7/2022,6/27/2023,385,France,45,Male,Tablet
2,Standard,11,8/7/2022,6/28/2023,325,Brazil,29,Female,Smart TV
1,Basic,13,10/27/2022,6/27/2023,243,Mexico,31,Male,Smart TV
2,Standard,11,9/8/2022,6/28/2023,293,Spain,31,Male,Smartphone
3,Premium,15,6/14/2022,6/26/2023,377,Italy,49,Female,Smartphone
1,Basic,15,7/6/2022,6/27/2023,356,United States,29,Female,Smartphone
3,Premium,12,5/27/2022,6/26/2023,395,Canada,50,Male,Laptop
2,Standard,13,5/27/2022,6/27/2023,396,United Kingdom,36,Female,Laptop
1,Basic,10,4/21/2022,6/26/2023,431,Australia,28,Male,Laptop
2,Standard,15,4/28/2022,6/27/2023,425,Germany,47,Female,Smart TV
3,Premium,12,5/27/2022,6/25/2023,394,France,50,Female,Laptop
1,Basic,15,8/25/2022,6/28/2023,307,Brazil,44,Female,Tablet
2,Standard,10,2/9/2022,6/27/2023,503,Mexico,39,Female,Laptop
3,Premium,14,8/22/2022,6/26/2023,308,Spain,32,Female,Smartphone
1,Basic,15,2/8/2022,6/27/2023,504,Italy,30,Female,Laptop
3,Premium,12,6/22/2022,6/27/2023,370,United States,33,Female,Smartphone
1,Basic,15,4/6/2022,6/27/2023,447,Canada,44,Male,Smartphone
2,Standard,14,5/31/2022,6/26/2023,391,United Kingdom,40,Male,Smartphone
2,Standard,15,5/22/2022,6/27/2023,401,Australia,32,Male,Tablet
1,Basic,13,5/29/2022,6/27/2023,394,Germany,32,Male,Tablet
3,Premium,11,11/6/2022,6/27/2023,233,France,30,Male,Smartphone
1,Basic,12,6/7/2022,6/26/2023,384,Brazil,32,Female,Smartphone
2,Standard,12,7/26/2022,6/27/2023,336,Mexico,45,Female,Tablet
3,Premium,11,7/22/2022,6/25/2023,338,Spain,35,Female,Smart TV
1,Basic,10,6/7/2022,6/26/2023,384,Italy,40,Female,Smart TV
3,Premium,14,8/7/2022,6/26/2023,323,United States,29,Female,Tablet
1,Basic,14,7/22/2022,6/26/2023,339,Canada,31,Male,Tablet
2,Standard,15,7/24/2022,6/27/2023,338,United Kingdom,43,Female,Smart TV
2,Standard,11,7/28/2022,6/28/2023,335,Australia,34,Male,Smart TV
1,Basic,10,11/8/2022,6/25/2023,229,Germany,47,Female,Tablet
3,Premium,12,2/9/2022,6/26/2023,502,France,35,Male,Laptop
1,Basic,13,11/10/2022,6/27/2023,229,Brazil,36,Male,Laptop
2,Standard,12,10/15/2022,6/27/2023,255,Mexico,33,Male,Tablet
3,Premium,13,5/10/2022,6/25/2023,411,Spain,30,Female,Laptop
1,Basic,14,9/13/2022,6/25/2023,285,Italy,44,Female,Smartphone
3,Premium,13,8/24/2022,6/26/2023,306,United States,44,Female,Laptop
1,Basic,11,9/8/2022,6/26/2023,291,Canada,41,Female,Laptop
2,Standard,13,6/8/2022,6/25/2023,382,United Kingdom,46,Male,Smart TV
2,Standard,13,7/8/2022,6/26/2023,353,Australia,42,Female,Smartphone
1,Basic,10,8/8/2022,6/25/2023,321,Germany,48,Female,Smart TV
3,Premium,15,8/31/2022,6/26/2023,299,France,37,Male,Tablet
1,Basic,14,9/21/2022,6/28/2023,280,Brazil,29,Male,Smartphone
2,Standard,14,5/10/2022,6/26/2023,412,Mexico,30,Male,Smart TV
3,Premium,14,2/11/2022,6/26/2023,500,Spain,28,Male,Smartphone
1,Basic,10,2/11/2022,6/28/2023,502,Italy,44,Female,Smartphone
3,Premium,11,2/11/2022,6/28/2023,502,United States,34,Female,Smart TV
1,Basic,10,9/20/2022,6/26/2023,279,Canada,38,Male,Laptop
2,Standard,14,10/8/2022,6/26/2023,261,United Kingdom,34,Female,Smartphone
2,Standard,10,8/16/2022,6/28/2023,316,Australia,40,Female,Laptop
1,Basic,15,12/10/2022,6/27/2023,199,Germany,32,Female,Tablet
3,Premium,11,10/14/2022,6/30/2023,259,France,38,Male,Smart TV
1,Basic,15,10/18/2022,6/26/2023,251,Brazil,39,Male,Smartphone
2,Standard,12,11/11/2022,6/28/2023,229,Mexico,34,Female,Smart TV
